time,V(2)
2.810000000e-03,9.397956924e+00
2.820000000e-03,9.403947377e+00
2.830000000e-03,9.409878223e+00
2.840000000e-03,9.415750057e+00
2.850000000e-03,9.421563464e+00
2.860000000e-03,9.427319027e+00
2.870000000e-03,9.433017321e+00
2.880000000e-03,9.438658915e+00
2.890000000e-03,9.444244375e+00
2.900000000e-03,9.449774258e+00
2.910000000e-03,9.455249118e+00
2.920000000e-03,9.460669502e+00
2.930000000e-03,9.466035951e+00
2.940000000e-03,9.471349004e+00
2.950000000e-03,9.476609190e+00
2.960000000e-03,9.481817037e+00
2.970000000e-03,9.486973064e+00
2.980000000e-03,9.492077788e+00
2.990000000e-03,9.497131719e+00
3.000000000e-03,9.502135362e+00
3.010000000e-03,9.507089218e+00
3.020000000e-03,9.511993782e+00
3.030000000e-03,9.516849544e+00
3.040000000e-03,9.521656991e+00
3.050000000e-03,9.526416603e+00
3.060000000e-03,9.531128855e+00
3.070000000e-03,9.535794220e+00
3.080000000e-03,9.540413163e+00
3.090000000e-03,9.544986147e+00
3.100000000e-03,9.549513629e+00
3.110000000e-03,9.553996061e+00
3.120000000e-03,9.558433892e+00
3.130000000e-03,9.562827566e+00
3.140000000e-03,9.567177522e+00
3.150000000e-03,9.571484195e+00
3.160000000e-03,9.575748016e+00
3.170000000e-03,9.579969411e+00
3.180000000e-03,9.584148802e+00
3.190000000e-03,9.588286607e+00
3.200000000e-03,9.592383240e+00
3.210000000e-03,9.596439111e+00
3.220000000e-03,9.600454625e+00
3.230000000e-03,9.604430184e+00
3.240000000e-03,9.608366185e+00
3.250000000e-03,9.612263022e+00
3.260000000e-03,9.616121085e+00
3.270000000e-03,9.619940760e+00
3.280000000e-03,9.623722428e+00
3.290000000e-03,9.627466467e+00
3.300000000e-03,9.631173253e+00
3.310000000e-03,9.634843155e+00
3.320000000e-03,9.638476541e+00
3.330000000e-03,9.642073774e+00
3.340000000e-03,9.645635214e+00
3.350000000e-03,9.649161216e+00
3.360000000e-03,9.652652135e+00
3.370000000e-03,9.656108318e+00
3.380000000e-03,9.659530111e+00
3.390000000e-03,9.662917856e+00
3.400000000e-03,9.666271893e+00
3.410000000e-03,9.669592557e+00
3.420000000e-03,9.672880179e+00
3.430000000e-03,9.676135089e+00
3.440000000e-03,9.679357611e+00
3.450000000e-03,9.682548069e+00
3.460000000e-03,9.685706782e+00
3.470000000e-03,9.688834064e+00
3.480000000e-03,9.691930229e+00
3.490000000e-03,9.694995587e+00
3.500000000e-03,9.698030444e+00
3.510000000e-03,9.701035103e+00
3.520000000e-03,9.704009866e+00
3.530000000e-03,9.706955029e+00
3.540000000e-03,9.709870886e+00
3.550000000e-03,9.712757731e+00
3.560000000e-03,9.715615851e+00
3.570000000e-03,9.718445532e+00
3.580000000e-03,9.721247057e+00
3.590000000e-03,9.724020706e+00
3.600000000e-03,9.726766757e+00
3.610000000e-03,9.729485484e+00
3.620000000e-03,9.732177159e+00
3.630000000e-03,9.734842052e+00
3.640000000e-03,9.737480428e+00
3.650000000e-03,9.740092552e+00
3.660000000e-03,9.742678685e+00
3.670000000e-03,9.745239085e+00
3.680000000e-03,9.747774009e+00
3.690000000e-03,9.750283709e+00
3.700000000e-03,9.752768438e+00
3.710000000e-03,9.755228443e+00
3.720000000e-03,9.757663971e+00
3.730000000e-03,9.760075264e+00
3.740000000e-03,9.762462565e+00
3.750000000e-03,9.764826111e+00
3.760000000e-03,9.767166140e+00
3.770000000e-03,9.769482885e+00
3.780000000e-03,9.771776578e+00
3.790000000e-03,9.774047448e+00
3.800000000e-03,9.776295722e+00
3.810000000e-03,9.778521626e+00
3.820000000e-03,9.780725382e+00
3.830000000e-03,9.782907209e+00
3.840000000e-03,9.785067327e+00
3.850000000e-03,9.787205952e+00
3.860000000e-03,9.789323296e+00
3.870000000e-03,9.791419573e+00
3.880000000e-03,9.793494991e+00
3.890000000e-03,9.795549759e+00
3.900000000e-03,9.797584081e+00
3.910000000e-03,9.799598161e+00
3.920000000e-03,9.801592201e+00
3.930000000e-03,9.803566399e+00
3.940000000e-03,9.805520954e+00
3.950000000e-03,9.807456061e+00
3.960000000e-03,9.809371913e+00
3.970000000e-03,9.811268701e+00
3.980000000e-03,9.813146617e+00
3.990000000e-03,9.815005847e+00
4.000000000e-03,9.816846577e+00
4.010000000e-03,9.818668991e+00
4.020000000e-03,9.820473272e+00
4.030000000e-03,9.822259600e+00
4.040000000e-03,9.824028154e+00
4.050000000e-03,9.825779110e+00
4.060000000e-03,9.827512643e+00
4.070000000e-03,9.829228928e+00
4.080000000e-03,9.830928136e+00
4.090000000e-03,9.832610436e+00
4.100000000e-03,9.834275996e+00
4.110000000e-03,9.835924984e+00
4.120000000e-03,9.837557565e+00
4.130000000e-03,9.839173900e+00
4.140000000e-03,9.840774153e+00
4.150000000e-03,9.842358483e+00
4.160000000e-03,9.843927049e+00
4.170000000e-03,9.845480007e+00
4.180000000e-03,9.847017513e+00
4.190000000e-03,9.848539720e+00
4.200000000e-03,9.850046781e+00
4.210000000e-03,9.851538847e+00
4.220000000e-03,9.853016066e+00
4.230000000e-03,9.854478586e+00
4.240000000e-03,9.855926554e+00
4.250000000e-03,9.857360115e+00
4.260000000e-03,9.858779411e+00
4.270000000e-03,9.860184585e+00
4.280000000e-03,9.861575777e+00
4.290000000e-03,9.862953127e+00
4.300000000e-03,9.864316771e+00
4.310000000e-03,9.865666848e+00
4.320000000e-03,9.867003490e+00
4.330000000e-03,9.868326833e+00
4.340000000e-03,9.869637008e+00
4.350000000e-03,9.870934147e+00
4.360000000e-03,9.872218379e+00
4.370000000e-03,9.873489832e+00
4.380000000e-03,9.874748634e+00
4.390000000e-03,9.875994911e+00
4.400000000e-03,9.877228788e+00
4.410000000e-03,9.878450386e+00
4.420000000e-03,9.879659830e+00
4.430000000e-03,9.880857240e+00
4.440000000e-03,9.882042735e+00
4.450000000e-03,9.883216434e+00
4.460000000e-03,9.884378454e+00
4.470000000e-03,9.885528913e+00
4.480000000e-03,9.886667924e+00
4.490000000e-03,9.887795601e+00
4.500000000e-03,9.888912058e+00
4.510000000e-03,9.890017406e+00
4.520000000e-03,9.891111756e+00
4.530000000e-03,9.892195216e+00
4.540000000e-03,9.893267896e+00
4.550000000e-03,9.894329902e+00
4.560000000e-03,9.895381342e+00
4.570000000e-03,9.896422319e+00
4.580000000e-03,9.897452938e+00
4.590000000e-03,9.898473303e+00
4.600000000e-03,9.899483514e+00
4.610000000e-03,9.900483674e+00
4.620000000e-03,9.901473882e+00
4.630000000e-03,9.902454237e+00
4.640000000e-03,9.903424838e+00
4.650000000e-03,9.904385780e+00
4.660000000e-03,9.905337162e+00
4.670000000e-03,9.906279076e+00
4.680000000e-03,9.907211619e+00
4.690000000e-03,9.908134882e+00
4.700000000e-03,9.909048959e+00
4.710000000e-03,9.909953941e+00
4.720000000e-03,9.910849918e+00
4.730000000e-03,9.911736979e+00
