Time(s),Switch State,V1(V),V2(V),V3(V),Capacitor Voltage(V)
0.016900,CLOSED,-5.000000,-5.000000,-4.999696,-4.999696
0.016950,CLOSED,-5.000000,-5.000000,-4.999711,-4.999711
0.017000,CLOSED,-5.000000,-5.000000,-4.999725,-4.999725
0.017050,CLOSED,-5.000000,-5.000000,-4.999738,-4.999738
0.017100,CLOSED,-5.000000,-5.000000,-4.999750,-4.999750
0.017150,CLOSED,-5.000000,-5.000000,-4.999762,-4.999762
0.017200,CLOSED,-5.000000,-5.000000,-4.999773,-4.999773
0.017250,CLOSED,-5.000000,-5.000000,-4.999784,-4.999784
0.017300,CLOSED,-5.000000,-5.000000,-4.999795,-4.999795
0.017350,CLOSED,-5.000000,-5.000000,-4.999804,-4.999804
0.017400,CLOSED,-5.000000,-5.000000,-4.999814,-4.999814
0.017450,CLOSED,-5.000000,-5.000000,-4.999822,-4.999822
0.017500,CLOSED,-5.000000,-5.000000,-4.999831,-4.999831
0.017550,CLOSED,-5.000000,-5.000000,-4.999839,-4.999839
0.017600,CLOSED,-5.000000,-5.000000,-4.999847,-4.999847
0.017650,CLOSED,-5.000000,-5.000000,-4.999854,-4.999854
0.017700,CLOSED,-5.000000,-5.000000,-4.999861,-4.999861
0.017750,CLOSED,-5.000000,-5.000000,-4.999868,-4.999868
0.017800,CLOSED,-5.000000,-5.000000,-4.999874,-4.999874
0.017850,CLOSED,-5.000000,-5.000000,-4.999880,-4.999880
0.017900,CLOSED,-5.000000,-5.000000,-4.999886,-4.999886
0.017950,CLOSED,-5.000000,-5.000000,-4.999891,-4.999891
0.018000,CLOSED,-5.000000,-5.000000,-4.999896,-4.999896
0.018050,CLOSED,-5.000000,-5.000000,-4.999901,-4.999901
0.018100,CLOSED,-5.000000,-5.000000,-4.999906,-4.999906
0.018150,CLOSED,-5.000000,-5.000000,-4.999910,-4.999910
0.018200,CLOSED,-5.000000,-5.000000,-4.999915,-4.999915
0.018250,CLOSED,-5.000000,-5.000000,-4.999919,-4.999919
0.018300,CLOSED,-5.000000,-5.000000,-4.999923,-4.999923
0.018350,CLOSED,-5.000000,-5.000000,-4.999926,-4.999926
0.018400,CLOSED,-5.000000,-5.000000,-4.999930,-4.999930
0.018450,CLOSED,-5.000000,-5.000000,-4.999933,-4.999933
0.018500,CLOSED,-5.000000,-5.000000,-4.999936,-4.999936
0.018550,CLOSED,-5.000000,-5.000000,-4.999939,-4.999939
0.018600,CLOSED,-5.000000,-5.000000,-4.999942,-4.999942
0.018650,CLOSED,-5.000000,-5.000000,-4.999945,-4.999945
0.018700,CLOSED,-5.000000,-5.000000,-4.999948,-4.999948
0.018750,CLOSED,-5.000000,-5.000000,-4.999950,-4.999950
0.018800,CLOSED,-5.000000,-5.000000,-4.999952,-4.999952
0.018850,CLOSED,-5.000000,-5.000000,-4.999955,-4.999955
0.018900,CLOSED,-5.000000,-5.000000,-4.999957,-4.999957
0.018950,CLOSED,-5.000000,-5.000000,-4.999959,-4.999959
0.019000,CLOSED,-5.000000,-5.000000,-4.999961,-4.999961
0.019050,CLOSED,-5.000000,-5.000000,-4.999963,-4.999963
0.019100,CLOSED,-5.000000,-5.000000,-4.999965,-4.999965
0.019150,CLOSED,-5.000000,-5.000000,-4.999966,-4.999966
0.019200,CLOSED,-5.000000,-5.000000,-4.999968,-4.999968
0.019250,CLOSED,-5.000000,-5.000000,-4.999969,-4.999969
0.019300,CLOSED,-5.000000,-5.000000,-4.999971,-4.999971
0.019350,CLOSED,-5.000000,-5.000000,-4.999972,-4.999972
0.019400,CLOSED,-5.000000,-5.000000,-4.999974,-4.999974
0.019450,CLOSED,-5.000000,-5.000000,-4.999975,-4.999975
0.019500,CLOSED,-5.000000,-5.000000,-4.999976,-4.999976
0.019550,CLOSED,-5.000000,-5.000000,-4.999977,-4.999977
0.019600,CLOSED,-5.000000,-5.000000,-4.999978,-4.999978
0.019650,CLOSED,-5.000000,-5.000000,-4.999979,-4.999979
0.019700,CLOSED,-5.000000,-5.000000,-4.999980,-4.999980
0.019750,CLOSED,-5.000000,-5.000000,-4.999981,-4.999981
0.019800,CLOSED,-5.000000,-5.000000,-4.999982,-4.999982
0.019850,CLOSED,-5.000000,-5.000000,-4.999983,-4.999983
